DATE,DAY,MONTH,YEAR,HOUR,WEEKDAY,WEEKEND,O3,NO2,NOX,PM10,PM10_Q,PM25,PM25_Q,QUALITY
01/01/2020,1,1,2020,0,3,Weekday,15,40,90,62,Desfavorable,,,BAD
02/01/2020,2,1,2020,0,4,Weekday,10,49,110,47,Regular,,,GOOD
03/01/2020,3,1,2020,0,5,Weekday,13,44,107,42,Regular,,,GOOD
04/01/2020,4,1,2020,0,6,Weekend,17,40,85,53,Desfavorable,,,BAD
05/01/2020,5,1,2020,0,7,Weekend,16,33,69,48,Regular,,,GOOD
06/01/2020,6,1,2020,0,1,Weekday,14,,,46,Regular,,,GOOD
07/01/2020,7,1,2020,0,2,Weekday,11,,,54,Desfavorable,,,BAD
08/01/2020,8,1,2020,0,3,Weekday,13,,,67,Desfavorable,,,BAD
09/01/2020,9,1,2020,0,4,Weekday,17,58,115,54,Desfavorable,,,BAD
10/01/2020,10,1,2020,0,5,Weekday,22,52,98,33,Razonablemente buena,,,GOOD
11/01/2020,11,1,2020,0,6,Weekend,40,41,67,22,Razonablemente buena,,,GOOD
12/01/2020,12,1,2020,0,7,Weekend,27,41,72,30,Razonablemente buena,,,GOOD
13/01/2020,13,1,2020,0,1,Weekday,13,61,145,45,Regular,,,GOOD
14/01/2020,14,1,2020,0,2,Weekday,18,65,152,48,Regular,,,GOOD
15/01/2020,15,1,2020,0,3,Weekday,14,70,148,51,Desfavorable,,,BAD
16/01/2020,16,1,2020,0,4,Weekday,15,68,165,51,Desfavorable,,,BAD
17/01/2020,17,1,2020,0,5,Weekday,14,67,153,50,Regular,,,GOOD
18/01/2020,18,1,2020,0,6,Weekend,11,60,120,47,Regular,,,GOOD
19/01/2020,19,1,2020,0,7,Weekend,39,33,60,28,Razonablemente buena,,,GOOD
20/01/2020,20,1,2020,0,1,Weekday,31,45,88,17,Buena,,,GOOD
21/01/2020,21,1,2020,0,2,Weekday,22,50,100,29,Razonablemente buena,,,GOOD
22/01/2020,22,1,2020,0,3,Weekday,19,50,116,98,Desfavorable,,,BAD
23/01/2020,23,1,2020,0,4,Weekday,16,45,93,94,Desfavorable,,,BAD
24/01/2020,24,1,2020,0,5,Weekday,9,61,131,85,Desfavorable,,,BAD
25/01/2020,25,1,2020,0,6,Weekend,13,50,97,83,Desfavorable,,,BAD
26/01/2020,26,1,2020,0,7,Weekend,19,45,86,39,Razonablemente buena,,,GOOD
27/01/2020,27,1,2020,0,1,Weekday,18,55,113,32,Razonablemente buena,,,GOOD
28/01/2020,28,1,2020,0,2,Weekday,12,58,130,36,Razonablemente buena,,,GOOD
29/01/2020,29,1,2020,0,3,Weekday,12,55,130,31,Razonablemente buena,,,GOOD
30/01/2020,30,1,2020,0,4,Weekday,15,54,112,30,Razonablemente buena,,,GOOD
31/01/2020,31,1,2020,0,5,Weekday,26,50,95,23,Razonablemente buena,,,GOOD
01/02/2020,1,2,2020,0,6,Weekend,18,44,80,24,Razonablemente buena,,,GOOD
02/02/2020,2,2,2020,0,7,Weekend,25,39,64,19,Buena,,,GOOD
03/02/2020,3,2,2020,0,1,Weekday,16,51,120,27,Razonablemente buena,,,GOOD
04/02/2020,4,2,2020,0,2,Weekday,15,60,138,32,Razonablemente buena,,,GOOD
05/02/2020,5,2,2020,0,3,Weekday,37,45,71,38,Razonablemente buena,,,GOOD
06/02/2020,6,2,2020,0,4,Weekday,27,47,97,38,Razonablemente buena,,,GOOD
07/02/2020,7,2,2020,0,5,Weekday,19,57,120,36,Razonablemente buena,,,GOOD
08/02/2020,8,2,2020,0,6,Weekend,18,46,88,43,Regular,,,GOOD
09/02/2020,9,2,2020,0,7,Weekend,30,41,66,36,Razonablemente buena,,,GOOD
10/02/2020,10,2,2020,0,1,Weekday,19,52,97,34,Razonablemente buena,,,GOOD
11/02/2020,11,2,2020,0,2,Weekday,25,53,94,32,Razonablemente buena,,,GOOD
12/02/2020,12,2,2020,0,3,Weekday,28,47,81,46,Regular,,,GOOD
13/02/2020,13,2,2020,0,4,Weekday,20,50,99,35,Razonablemente buena,,,GOOD
14/02/2020,14,2,2020,0,5,Weekday,27,48,105,28,Razonablemente buena,,,GOOD
15/02/2020,15,2,2020,0,6,Weekend,29,45,84,46,Regular,,,GOOD
16/02/2020,16,2,2020,0,7,Weekend,32,35,55,44,Regular,,,GOOD
17/02/2020,17,2,2020,0,1,Weekday,28,47,90,27,Razonablemente buena,,,GOOD
18/02/2020,18,2,2020,0,2,Weekday,43,33,45,30,Razonablemente buena,,,GOOD
19/02/2020,19,2,2020,0,3,Weekday,34,46,78,26,Razonablemente buena,,,GOOD
20/02/2020,20,2,2020,0,4,Weekday,32,45,78,28,Razonablemente buena,,,GOOD
21/02/2020,21,2,2020,0,5,Weekday,32,45,91,32,Razonablemente buena,,,GOOD
22/02/2020,22,2,2020,0,6,Weekend,38,40,72,32,Razonablemente buena,,,GOOD
23/02/2020,23,2,2020,0,7,Weekend,40,38,62,32,Razonablemente buena,,,GOOD
24/02/2020,24,2,2020,0,1,Weekday,30,47,87,28,Razonablemente buena,,,GOOD
25/02/2020,25,2,2020,0,2,Weekday,34,56,99,29,Razonablemente buena,,,GOOD
26/02/2020,26,2,2020,0,3,Weekday,45,49,84,23,Razonablemente buena,,,GOOD
