FULL_DATE,DATE,DAY,MONTH,YEAR,HOUR,WEEKDAY,WEEKEND,O3,NO2,NOX,PM10,PM10_Q,QUALITY,RANGE
2022-02-01 00:00:00,01/02/2022,1,2,2022,0,2,Weekday,,22,33,21,Razonablemente buena,GOOD,19-5
2022-02-01 01:00:00,01/02/2022,1,2,2022,1,2,Weekday,,17,26,19,Buena,GOOD,19-5
2022-02-01 02:00:00,01/02/2022,1,2,2022,2,2,Weekday,,13,19,20,Buena,GOOD,19-5
2022-02-01 03:00:00,01/02/2022,1,2,2022,3,2,Weekday,,8,14,18,Buena,GOOD,19-5
2022-02-01 04:00:00,01/02/2022,1,2,2022,4,2,Weekday,,7,14,16,Buena,GOOD,19-5
2022-02-01 05:00:00,01/02/2022,1,2,2022,5,2,Weekday,,7,14,15,Buena,GOOD,19-5
2022-02-01 06:00:00,01/02/2022,1,2,2022,6,2,Weekday,,9,16,13,Buena,GOOD,6-18
2022-02-01 07:00:00,01/02/2022,1,2,2022,7,2,Weekday,,18,27,14,Buena,GOOD,6-18
2022-02-01 08:00:00,01/02/2022,1,2,2022,8,2,Weekday,,29,47,15,Buena,GOOD,6-18
2022-02-01 09:00:00,01/02/2022,1,2,2022,9,2,Weekday,,28,45,15,Buena,GOOD,6-18
2022-02-01 10:00:00,01/02/2022,1,2,2022,10,2,Weekday,,19,34,15,Buena,GOOD,6-18
2022-02-01 11:00:00,01/02/2022,1,2,2022,11,2,Weekday,,16,29,15,Buena,GOOD,6-18
2022-02-01 12:00:00,01/02/2022,1,2,2022,12,2,Weekday,,15,28,15,Buena,GOOD,6-18
2022-02-01 13:00:00,01/02/2022,1,2,2022,13,2,Weekday,,12,23,15,Buena,GOOD,6-18
2022-02-01 14:00:00,01/02/2022,1,2,2022,14,2,Weekday,,13,24,14,Buena,GOOD,6-18
2022-02-01 15:00:00,01/02/2022,1,2,2022,15,2,Weekday,82,9,19,16,Buena,GOOD,6-18
2022-02-01 16:00:00,01/02/2022,1,2,2022,16,2,Weekday,82,11,19,16,Buena,GOOD,6-18
2022-02-01 17:00:00,01/02/2022,1,2,2022,17,2,Weekday,85,10,18,16,Buena,GOOD,6-18
2022-02-01 18:00:00,01/02/2022,1,2,2022,18,2,Weekday,53,25,38,16,Buena,GOOD,6-18
2022-02-01 19:00:00,01/02/2022,1,2,2022,19,2,Weekday,19,36,57,17,Buena,GOOD,19-5
2022-02-01 20:00:00,01/02/2022,1,2,2022,20,2,Weekday,9,38,67,25,Razonablemente buena,GOOD,19-5
2022-02-01 21:00:00,01/02/2022,1,2,2022,21,2,Weekday,24,27,43,27,Razonablemente buena,GOOD,19-5
2022-02-01 22:00:00,01/02/2022,1,2,2022,22,2,Weekday,12,32,51,30,Razonablemente buena,GOOD,19-5
